NO.,Product_name,Review,Rating,Sentiment
0,"lenovo ideapad gaming 3 ryzen 5 hexa core 5600h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce gtx 1650/120 hz) 15ach6 gaming laptop  (15.6 inch, shadow black, 2.25$$kg kg)",best under 60k great performancei got it for around 58500battery backup is bit low but thanks to rapid charger its very fast display is ok for this price range decent speakers with many customisation optionsvantage software is so good for customisationoverall good performance till nowwill update later if any problem occurs,5,2
1,"lenovo ideapad gaming 3 ryzen 5 hexa core 5600h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce gtx 1650/120 hz) 15ach6 gaming laptop  (15.6 inch, shadow black, 2.25$$kg kg)",good perfomence...,5,2
2,"lenovo ideapad gaming 3 ryzen 5 hexa core 5600h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce gtx 1650/120 hz) 15ach6 gaming laptop  (15.6 inch, shadow black, 2.25$$kg kg)","great performance but usually it has also that gaming laptop's issue of battery. it can only stand for 2 - 3 hrs without adapter. so, i prefer that use it with adaptor if you are using any software or playing games.",5,2
3,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",my wife is so happy and best product 👌🏻😘,5,2
4,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)","light weight laptop with new amazing features, battery life is awesome.",5,2
5,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)","amazing laptop, am so much happy, thanks for flipkart.",5,2
6,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",over all a good laptop for personal use,5,2
7,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",thank you so much flipkart,4,2
8,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",amazing product,5,2
9,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)","good for normal work , students, online classes, watching movies etc.not for havy tasks, gaming, buisness work, office work.editing etc.overall good laptop in this range in budget laptops.",3,1
10,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",laptop received was in good packaging and good condition. performance wise little bit slow compared to i3 processor of intel. for general usage this laptop performs good.,5,2
11,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",very nice,5,2
